island,word,percent,hz,f2,duration,intensity
Atiu,ava,f0_20.point,128.5915614,964.3924523,0.08,54.08201907
Atiu,ava,f0_50.point,127.0908009,964.3924523,0.08,54.08201907
Atiu,ava,f0_80.point,127.4540488,964.3924523,0.08,54.08201907
Atiu,ava,f0_20.point,160.6463967,950.2332673,0.07,58.06060793
Atiu,ava,f0_50.point,157.4396747,950.2332673,0.07,58.06060793
Atiu,ava,f0_80.point,158.282032,950.2332673,0.07,58.06060793
Atiu,ava,f0_20.point,131.7166989,2575.962097,0.14,48.40480522
Atiu,ava,f0_50.point,134.1155395,2575.962097,0.14,48.40480522
Atiu,ava,f0_80.point,140.2238473,2575.962097,0.14,48.40480522
Atiu,ava,f0_20.point,141.4205323,961.5735722,0.11,54.18315065
Atiu,ava,f0_50.point,141.8125367,961.5735722,0.11,54.18315065
Atiu,ava,f0_80.point,145.0028496,961.5735722,0.11,54.18315065
Atiu,ava,f0_20.point,119.6032629,984.454109,0.05,49.5922444
Atiu,ava,f0_50.point,118.2317918,984.454109,0.05,49.5922444
Atiu,ava,f0_80.point,111.5702251,984.454109,0.05,49.5922444
Atiu,ava,f0_20.point,135.8706227,896.0440639,0.13,53.07334692
Atiu,ava,f0_50.point,142.7506414,896.0440639,0.13,53.07334692
Atiu,ava,f0_80.point,136.9814201,896.0440639,0.13,53.07334692
Atiu,ava,f0_20.point,110.208328,812.6965794,0.1,52.79598089
Atiu,ava,f0_50.point,115.0860597,812.6965794,0.1,52.79598089
Atiu,ava,f0_80.point,118.0947771,812.6965794,0.1,52.79598089
Atiu,ava,f0_20.point,121.8850562,1382.613488,0.1,46.52054778
Atiu,ava,f0_50.point,126.5011724,1382.613488,0.1,46.52054778
Atiu,ava,f0_80.point,130.8498863,1382.613488,0.1,46.52054778
Atiu,ava,f0_20.point,133.1719314,751.1415106,0.12,50.02860812
Atiu,ava,f0_50.point,132.1615689,751.1415106,0.12,50.02860812
Atiu,ava,f0_80.point,128.768765,751.1415106,0.12,50.02860812
Atiu,ava,f0_20.point,200.229984,945.4486853,0.11,56.41402701
Atiu,ava,f0_50.point,203.8686387,945.4486853,0.11,56.41402701
Atiu,ava,f0_80.point,204.3492508,945.4486853,0.11,56.41402701
Atiu,avatea,f0_20.point,120.0276184,578.591891,0.11,53.85199212
Atiu,avatea,f0_50.point,120.2638833,578.591891,0.11,53.85199212
Atiu,avatea,f0_80.point,125.8346534,578.591891,0.11,53.85199212
Atiu,avatea,f0_20.point,148.0584899,1023.503353,0.07,61.05463281
Atiu,avatea,f0_50.point,148.2406645,1023.503353,0.07,61.05463281
Atiu,avatea,f0_80.point,147.8626697,1023.503353,0.07,61.05463281
Atiu,avatea,f0_20.point,125.595395,1233.426358,0.07,41.99715681
Atiu,avatea,f0_50.point,123.0549662,1233.426358,0.07,41.99715681
Atiu,avatea,f0_80.point,127.8549146,1233.426358,0.07,41.99715681
Atiu,avatea,f0_20.point,163.6366459,1357.763358,0.03,63.837989
Atiu,avatea,f0_50.point,163.2081881,1357.763358,0.03,63.837989
Atiu,avatea,f0_80.point,162.1738987,1357.763358,0.03,63.837989
Atiu,iva,f0_20.point,118.2839594,1077.105459,0.08,52.70838546
Atiu,iva,f0_50.point,124.3454994,1077.105459,0.08,52.70838546
Atiu,iva,f0_80.point,130.7238007,1077.105459,0.08,52.70838546
Atiu,iva,f0_20.point,134.7309845,879.5596718,0.09,54.71159945
Atiu,iva,f0_50.point,134.0646947,879.5596718,0.09,54.71159945
Atiu,iva,f0_80.point,136.6205306,879.5596718,0.09,54.71159945
Atiu,iva,f0_20.point,124.4744452,972.0623778,0.12,54.05825096
Atiu,iva,f0_50.point,131.106991,972.0623778,0.12,54.05825096
Atiu,iva,f0_80.point,134.5865582,972.0623778,0.12,54.05825096
Atiu,iva,f0_20.point,108.0592278,1253.63633,0.09,50.24981915
Atiu,iva,f0_50.point,114.3690956,1253.63633,0.09,50.24981915
Atiu,iva,f0_80.point,117.6288292,1253.63633,0.09,50.24981915
Atiu,kauvai,f0_20.point,131.8946046,2012.281723,0.1,55.34045788
Atiu,kauvai,f0_50.point,130.9104174,2012.281723,0.1,55.34045788
Atiu,kauvai,f0_80.point,134.2287647,2012.281723,0.1,55.34045788
Atiu,kauvai,f0_20.point,131.9873252,505.7258552,0.09,59.44630241
Atiu,kauvai,f0_50.point,131.2030288,505.7258552,0.09,59.44630241
Atiu,kauvai,f0_80.point,136.3035053,505.7258552,0.09,59.44630241
Atiu,kavamani,f0_20.point,146.5663545,907.9087878,0.03,69.38553536
Atiu,kavamani,f0_50.point,148.820738,907.9087878,0.03,69.38553536
Atiu,kavamani,f0_80.point,153.9322451,907.9087878,0.03,69.38553536
Atiu,kave,f0_20.point,167.0962518,793.8247516,0.03,65.96487054
Atiu,kave,f0_50.point,169.8547228,793.8247516,0.03,65.96487054
Atiu,kave,f0_80.point,172.2598026,793.8247516,0.03,65.96487054
Atiu,manukavamani,f0_20.point,152.0728453,909.9409243,0.03,72.29148639
Atiu,manukavamani,f0_50.point,153.8013933,909.9409243,0.03,72.29148639
Atiu,manukavamani,f0_80.point,156.5530574,909.9409243,0.03,72.29148639
Atiu,rava,f0_20.point,118.4489473,969.3674761,0.03,59.5495455
Atiu,rava,f0_50.point,119.1420841,969.3674761,0.03,59.5495455
Atiu,rava,f0_80.point,119.6035734,969.3674761,0.03,59.5495455
Atiu,rava,f0_20.point,174.4348872,1397.268654,0.05,61.56894963
Atiu,rava,f0_50.point,176.8993604,1397.268654,0.05,61.56894963
Atiu,rava,f0_80.point,179.0808541,1397.268654,0.05,61.56894963
Atiu,rave,f0_20.point,145.3764094,1392.423067,0.04,60.27893913
Atiu,rave,f0_50.point,145.8743797,1392.423067,0.04,60.27893913
Atiu,rave,f0_80.point,146.8070523,1392.423067,0.04,60.27893913
Atiu,rave,f0_20.point,153.1907279,1151.78772,0.07,52.00795599
Atiu,rave,f0_50.point,151.7487576,1151.78772,0.07,52.00795599
Atiu,rave,f0_80.point,154.3126065,1151.78772,0.07,52.00795599
Atiu,rave,f0_20.point,179.2487305,1317.828065,0.08,56.0959387
Atiu,rave,f0_50.point,189.7724268,1317.828065,0.08,56.0959387
Atiu,rave,f0_80.point,213.086451,1317.828065,0.08,56.0959387
Atiu,raveꞌanga,f0_20.point,147.5712633,1299.368643,0.06,54.22366349
Atiu,raveꞌanga,f0_50.point,146.8588546,1299.368643,0.06,54.22366349
Atiu,raveꞌanga,f0_80.point,149.3232963,1299.368643,0.06,54.22366349
Atiu,rāvenga,f0_20.point,191.3897718,1445.688441,0.03,70.10907013
Atiu,rāvenga,f0_50.point,191.8717612,1445.688441,0.03,70.10907013
Atiu,rāvenga,f0_80.point,192.6856469,1445.688441,0.03,70.10907013
Atiu,tāviri,f0_20.point,151.7674654,1961.697222,0.03,63.74718529
Atiu,tāviri,f0_50.point,150.2858319,1961.697222,0.03,63.74718529
Atiu,tāviri,f0_80.point,148.2650297,1961.697222,0.03,63.74718529
Atiu,vai,f0_20.point,121.5961738,972.5303565,0.03,55.71858246
Atiu,vai,f0_50.point,120.6168177,972.5303565,0.03,55.71858246
Atiu,vai,f0_80.point,120.1727331,972.5303565,0.03,55.71858246
Atiu,vai,f0_20.point,108.3814154,874.9060095,0.05,55.08111247
Atiu,vai,f0_50.point,120.53576,874.9060095,0.05,55.08111247
Atiu,vai,f0_80.point,124.7615342,874.9060095,0.05,55.08111247
Atiu,vai,f0_20.point,122.9493959,831.6540817,0.07,59.35320871
Atiu,vai,f0_50.point,120.8971188,831.6540817,0.07,59.35320871
Atiu,vai,f0_80.point,121.4053719,831.6540817,0.07,59.35320871
Atiu,vai,f0_20.point,168.4580573,856.6909063,0.07,61.55405126
