speaker,island,word,f0,duration
TA,Atiu,ava,127.0908009,0.08
TA,Atiu,ava,157.4396747,0.07
TA,Atiu,ava,134.1155395,0.14
TA,Atiu,ava,141.8125367,0.11
TA,Atiu,ava,118.2317918,0.05
TA,Atiu,ava,142.7506414,0.13
TA,Atiu,ava,115.0860597,0.1
TA,Atiu,ava,126.5011724,0.1
TA,Atiu,ava,132.1615689,0.12
TA,Atiu,ava,203.8686387,0.11
TA,Atiu,avatea,120.2638833,0.11
TA,Atiu,avatea,148.2406645,0.07
TA,Atiu,avatea,123.0549662,0.07
TA,Atiu,avatea,163.2081881,0.03
TA,Atiu,iva,124.3454994,0.08
TA,Atiu,iva,134.0646947,0.09
TA,Atiu,iva,131.106991,0.12
TA,Atiu,iva,114.3690956,0.09
TA,Atiu,kauvai,130.9104174,0.1
TA,Atiu,kauvai,131.2030288,0.09
TA,Atiu,kavamani,148.820738,0.03
TA,Atiu,kave,169.8547228,0.03
TA,Atiu,manukavamani,153.8013933,0.03
TA,Atiu,rava,119.1420841,0.03
TA,Atiu,rava,176.8993604,0.05
TA,Atiu,rave,145.8743797,0.04
TA,Atiu,rave,151.7487576,0.07
TA,Atiu,rave,189.7724268,0.08
TA,Atiu,raveꞌanga,146.8588546,0.06
TA,Atiu,rāvenga,191.8717612,0.03
TA,Atiu,tuava,NA,0.04
TA,Atiu,tuava,NA,0.03
TA,Atiu,tāviri,150.2858319,0.03
TA,Atiu,vai,120.6168177,0.03
TA,Atiu,vai,120.53576,0.05
TA,Atiu,vai,120.8971188,0.07
TA,Atiu,vai,173.2701827,0.07
TA,Atiu,vai,119.0523943,0.06
TA,Atiu,vai,119.0523943,0.06
TA,Atiu,vai,156.9750296,0.04
TA,Atiu,vai,132.7876805,0.03
TA,Atiu,vai,180.0257423,0.03
TA,Atiu,vai,120.714175,0.03
TA,Atiu,vai,154.8422643,0.06
TA,Atiu,vai,146.8613539,0.05
TA,Atiu,vai,152.2342143,0.06
TA,Atiu,vai,117.5543157,0.07
TA,Atiu,vai,112.1314289,0.08
TA,Atiu,vai,136.746695,0.04
TA,Atiu,vai,128.5876206,0.06
TA,Atiu,vai,140.5439913,0.09
TA,Atiu,vai,117.2135823,0.08
TA,Atiu,vai,172.8308628,0.05
