speaker,island,word,f2
TA,Atiu,ava,964.3924523
TA,Atiu,ava,950.2332673
TA,Atiu,ava,2575.962097
TA,Atiu,ava,961.5735722
TA,Atiu,ava,984.454109
TA,Atiu,ava,896.0440639
TA,Atiu,ava,812.6965794
TA,Atiu,ava,1382.613488
TA,Atiu,ava,751.1415106
TA,Atiu,ava,945.4486853
TA,Atiu,avatea,578.591891
TA,Atiu,avatea,1023.503353
TA,Atiu,avatea,1233.426358
TA,Atiu,avatea,1357.763358
TA,Atiu,iva,1077.105459
TA,Atiu,iva,879.5596718
TA,Atiu,iva,972.0623778
TA,Atiu,iva,1253.63633
TA,Atiu,kauvai,2012.281723
TA,Atiu,kauvai,505.7258552
TA,Atiu,kavamani,907.9087878
TA,Atiu,kave,793.8247516
TA,Atiu,manukavamani,909.9409243
TA,Atiu,rava,969.3674761
TA,Atiu,rava,1397.268654
TA,Atiu,rave,1392.423067
TA,Atiu,rave,1151.78772
TA,Atiu,rave,1317.828065
TA,Atiu,raveꞌanga,1299.368643
TA,Atiu,rāvenga,1445.688441
TA,Atiu,tuava,1004.313789
TA,Atiu,tuava,1092.969687
TA,Atiu,tāviri,1961.697222
TA,Atiu,vai,972.5303565
TA,Atiu,vai,874.9060095
TA,Atiu,vai,831.6540817
TA,Atiu,vai,856.6909063
TA,Atiu,vai,880.5387937
TA,Atiu,vai,880.5387937
TA,Atiu,vai,901.7726157
TA,Atiu,vai,996.1418249
TA,Atiu,vai,855.6295667
TA,Atiu,vai,968.6529113
TA,Atiu,vai,678.8034821
TA,Atiu,vai,910.4682396
TA,Atiu,vai,896.2245062
TA,Atiu,vai,931.4102384
TA,Atiu,vai,831.5216152
TA,Atiu,vai,1477.759503
TA,Atiu,vai,880.2109627
TA,Atiu,vai,879.6715322
TA,Atiu,vai,851.0776324
TA,Atiu,vai,968.0337894
TA,Atiu,vai,882.0984736
TA,Atiu,vai,860.5021937
TA,Atiu,vai,912.3980363
TA,Atiu,vai,1454.16707
TA,Atiu,vai,867.2387728
TA,Atiu,vai,860.7472243
TA,Atiu,vai,868.263378
TA,Atiu,vai,1258.750945
TA,Atiu,vai,910.1813223
TA,Atiu,vai,957.6084345
TA,Atiu,vai,764.2332411
TA,Atiu,vai,691.4463926
TA,Atiu,vai,956.158594
TA,Atiu,vai,994.1079736
TA,Atiu,vai,775.262371
TA,Atiu,vai,1066.547813
TA,Atiu,vai,790.1287159
TA,Atiu,vai,825.6871447
TA,Atiu,vai,812.4174308
TA,Atiu,vai,1627.994079
TA,Atiu,vai,931.2925677
TA,Atiu,vai,884.4028594
TA,Atiu,vaipuke,798.5783892
TA,Atiu,vaipuke,917.8064776
TA,Atiu,vaka,837.9835693
TA,Atiu,varaoa,921.9354138
TA,Atiu,varaoa,917.9100525
TA,Atiu,varaoa,1796.4257
TA,Atiu,vari,1671.346339
TA,Atiu,vari,915.0325241
TA,Atiu,varu,999.1229336
TA,Atiu,varu,931.9902373
TA,Atiu,vaꞌine,1345.750753
TA,Atiu,vaꞌine,868.4645187
TA,Atiu,vaꞌine,865.5036631
TA,Atiu,vaꞌo,828.052351
TA,Atiu,vaꞌo,830.3345622
TA,Atiu,vāvia,835.5488916
TA,Atiu,vāvia,1331.392136
TA,Atiu,vāvia,815.7519121
TA,Atiu,vāvia,1474.892168
TA,Atiu,vāvia,799.0379275
TA,Atiu,vāvia,1431.436686
TA,Atiu,vāvia,940.5097829
TA,Atiu,vāvia,1322.401141
TA,Atiu,vāvia,903.8585912
TA,Atiu,vāvia,1495.137321
TA,Atiu,vē,1570.740746
TA,Atiu,vēꞌi,2339.684844
TA,Atiu,vēꞌi,2152.366062
TA,Atiu,vēꞌi,2077.790159
TA,Atiu,vī,1938.084593
TA,Atiu,vī,1814.930196
TA,Atiu,āvota,1079.947107
TA,Atiu,ꞌakavā,890.7893051
TA,Atiu,ꞌakavā,935.8982657
TA,Atiu,ꞌakavā,890.7893051
TA,Atiu,ꞌakavā,935.8982657
TA,Atiu,ꞌakavā,868.6987659
TA,Atiu,ꞌakavā,868.6987659
TA,Atiu,ꞌakaꞌārāveiꞌanga,1332.892431
TA,Atiu,ꞌārāvei,1385.778947
TA,Atiu,ꞌārāvei,1248.350324
TA,Atiu,ꞌārāvei,1217.72972
TA,Atiu,ꞌārāvei,1347.549549
JA,Mauke,ava,1112.128475
JE,Mauke,ava,1980.644011
JE,Mauke,ava,1004.482095
JE,Mauke,ava,1005.834674
JE,Mauke,ava,1033.965955
JE,Mauke,ava,971.2454118
MM,Mauke,ava,983.4025629
MM,Mauke,ava,1077.32675
JA,Mauke,avaava,1061.608528
JA,Mauke,avaava,1023.600363
JA,Mauke,avaava,1101.824196
JA,Mauke,avaava,1001.335136
JA,Mauke,avaavaꞌia,1035.244231
JA,Mauke,avaavaꞌia,1094.012539
JE,Mauke,avaiki,1525.737791
JE,Mauke,avaiki,1062.992186
MSC,Mauke,avaiki,1338.701988
JE,Mauke,avanā,1160.588276
JE,Mauke,avanā,1091.080457
JE,Mauke,avata,2108.214864
MSC,Mauke,evangeria,1755.956148
MM,Mauke,evenheria,1417.128606
JA,Mauke,improveꞌia,1449.977113
JE,Mauke,iva,1288.831175
MM,Mauke,iva,1577.672416
MM,Mauke,iva,2406.384364
MM,Mauke,iva,1187.048727
MM,Mauke,iva,1022.17013
MM,Mauke,iva,2185.499774
MM,Mauke,iva,1712.07031
JE,Mauke,kaikava,1060.454565
JA,Mauke,kava,1095.169851
JE,Mauke,kava,1651.04837
JE,Mauke,kava,1651.04837
JE,Mauke,kava,1312.491005
JE,Mauke,kava,974.2150877
MM,Mauke,kava,2454.478349
MM,Mauke,kava,1387.474745
MM,Mauke,kavamani,1802.028177
MSC,Mauke,kavamani,991.7951918
MSC,Mauke,kavamani,829.9137692
JE,Mauke,kaveinga,1305.38353
JE,Mauke,kaveinga,1184.320001
MSC,Mauke,kaveinga,1481.968077
MSC,Mauke,kaveinga,1418.866745
JA,Mauke,kivi,1742.998878
JA,Mauke,navenave,1324.539311
JA,Mauke,navenave,1130.15932
JE,Mauke,nēneva,1366.393277
JE,Mauke,ovi,1498.278918
JE,Mauke,ovi,1703.434794
JE,Mauke,ovi,1675.700167
MSC,Mauke,oꞌavaiki,1572.992825
JA,Mauke,rava,1087.348496
JA,Mauke,rava,1146.202684
JA,Mauke,rava,1071.12649
JE,Mauke,rava,1135.211854
