speaker,island,word,intensity
TA,Atiu,ava,54.08201907
TA,Atiu,ava,58.06060793
TA,Atiu,ava,48.40480522
TA,Atiu,ava,54.18315065
TA,Atiu,ava,49.5922444
TA,Atiu,ava,53.07334692
TA,Atiu,ava,52.79598089
TA,Atiu,ava,46.52054778
TA,Atiu,ava,50.02860812
TA,Atiu,ava,56.41402701
TA,Atiu,avatea,53.85199212
TA,Atiu,avatea,61.05463281
TA,Atiu,avatea,41.99715681
TA,Atiu,avatea,63.837989
TA,Atiu,iva,52.70838546
TA,Atiu,iva,54.71159945
TA,Atiu,iva,54.05825096
TA,Atiu,iva,50.24981915
TA,Atiu,kauvai,55.34045788
TA,Atiu,kauvai,59.44630241
TA,Atiu,kavamani,69.38553536
TA,Atiu,kave,65.96487054
TA,Atiu,manukavamani,72.29148639
TA,Atiu,rava,59.5495455
TA,Atiu,rava,61.56894963
TA,Atiu,rave,60.27893913
TA,Atiu,rave,52.00795599
TA,Atiu,rave,56.0959387
TA,Atiu,raveꞌanga,54.22366349
TA,Atiu,rāvenga,70.10907013
TA,Atiu,tuava,40.54177587
TA,Atiu,tuava,48.17533509
TA,Atiu,tāviri,63.74718529
TA,Atiu,vai,55.71858246
TA,Atiu,vai,55.08111247
TA,Atiu,vai,59.35320871
TA,Atiu,vai,61.55405126
TA,Atiu,vai,55.70843761
TA,Atiu,vai,55.70843761
TA,Atiu,vai,58.01399383
TA,Atiu,vai,62.542677
TA,Atiu,vai,61.54716585
TA,Atiu,vai,58.78955738
TA,Atiu,vai,54.04902347
TA,Atiu,vai,57.9980517
TA,Atiu,vai,65.32404153
TA,Atiu,vai,58.33471581
TA,Atiu,vai,55.66064552
TA,Atiu,vai,59.30760001
TA,Atiu,vai,57.30561601
TA,Atiu,vai,59.67699383
TA,Atiu,vai,52.68040171
TA,Atiu,vai,69.56381928
TA,Atiu,vai,60.2307468
TA,Atiu,vai,54.64054625
TA,Atiu,vai,53.88888753
TA,Atiu,vai,54.58779583
TA,Atiu,vai,57.76867236
TA,Atiu,vai,55.69368796
TA,Atiu,vai,57.07587327
TA,Atiu,vai,59.72923647
TA,Atiu,vai,61.60002231
TA,Atiu,vai,60.16927206
TA,Atiu,vai,59.36685356
TA,Atiu,vai,70.37215786
TA,Atiu,vai,57.90010626
TA,Atiu,vai,52.83975178
TA,Atiu,vai,54.83613256
TA,Atiu,vai,61.22541998
TA,Atiu,vai,56.20679319
TA,Atiu,vai,59.67178316
TA,Atiu,vai,58.8949519
TA,Atiu,vai,59.41805437
TA,Atiu,vai,61.47183963
TA,Atiu,vai,60.31866462
TA,Atiu,vaipuke,74.42647592
TA,Atiu,vaipuke,66.2631055
TA,Atiu,vaka,52.44704384
TA,Atiu,varaoa,62.18599287
TA,Atiu,varaoa,51.87236355
TA,Atiu,varaoa,48.0139192
TA,Atiu,vari,46.30112599
TA,Atiu,vari,55.83931214
TA,Atiu,varu,58.51284705
TA,Atiu,varu,51.62743739
TA,Atiu,vaꞌine,57.78194592
TA,Atiu,vaꞌine,49.92166062
TA,Atiu,vaꞌine,65.12885883
TA,Atiu,vaꞌo,59.65632485
TA,Atiu,vaꞌo,63.12792212
TA,Atiu,vāvia,72.63346733
TA,Atiu,vāvia,65.94513106
TA,Atiu,vāvia,64.63366964
TA,Atiu,vāvia,64.10927134
TA,Atiu,vāvia,67.91202382
TA,Atiu,vāvia,64.81402582
TA,Atiu,vāvia,69.61780462
TA,Atiu,vāvia,72.15442072
TA,Atiu,vāvia,62.29483289
TA,Atiu,vāvia,57.46179617
TA,Atiu,vē,35.06081292
TA,Atiu,vēꞌi,59.29614138
TA,Atiu,vēꞌi,56.55930542
TA,Atiu,vēꞌi,60.34341324
TA,Atiu,vī,51.52841099
TA,Atiu,vī,52.9732192
TA,Atiu,āvota,49.88244971
TA,Atiu,ꞌakavā,57.8520365
TA,Atiu,ꞌakavā,53.27319813
TA,Atiu,ꞌakavā,57.8520365
TA,Atiu,ꞌakavā,53.27319813
TA,Atiu,ꞌakavā,50.70642825
TA,Atiu,ꞌakavā,50.70642825
TA,Atiu,ꞌakaꞌārāveiꞌanga,56.44644872
TA,Atiu,ꞌārāvei,48.36011555
TA,Atiu,ꞌārāvei,52.69286393
TA,Atiu,ꞌārāvei,49.55884501
TA,Atiu,ꞌārāvei,54.02394025
JA,Mauke,ava,68.01278454
JE,Mauke,ava,55.01330192
JE,Mauke,ava,55.48973462
JE,Mauke,ava,58.37618275
JE,Mauke,ava,51.22945828
JE,Mauke,ava,54.11190334
MM,Mauke,ava,83.58147885
MM,Mauke,ava,78.51018074
JA,Mauke,avaava,59.06437758
JA,Mauke,avaava,58.78219286
JA,Mauke,avaava,70.57135788
JA,Mauke,avaava,66.06793705
JA,Mauke,avaavaꞌia,67.22457723
JA,Mauke,avaavaꞌia,66.00352248
JE,Mauke,avaiki,53.43037001
JE,Mauke,avaiki,53.18746081
MSC,Mauke,avaiki,38.96783152
JE,Mauke,avanā,54.71758946
JE,Mauke,avanā,55.45230074
JE,Mauke,avata,44.17090539
MSC,Mauke,evangeria,45.56913546
MM,Mauke,evenheria,77.26849915
JA,Mauke,improveꞌia,70.8633727
JE,Mauke,iva,54.43250465
MM,Mauke,iva,68.76406317
MM,Mauke,iva,68.19363978
MM,Mauke,iva,68.46374721
MM,Mauke,iva,74.56323723
MM,Mauke,iva,74.37895646
MM,Mauke,iva,79.36659898
JE,Mauke,kaikava,58.10233704
JA,Mauke,kava,64.41665549
JE,Mauke,kava,46.48530533
JE,Mauke,kava,46.48530533
JE,Mauke,kava,49.17340301
JE,Mauke,kava,51.1268976
MM,Mauke,kava,72.01628351
MM,Mauke,kava,62.92515353
MM,Mauke,kavamani,68.14709795
MSC,Mauke,kavamani,55.60069208
MSC,Mauke,kavamani,58.65520903
JE,Mauke,kaveinga,60.37203043
JE,Mauke,kaveinga,59.35134578
MSC,Mauke,kaveinga,53.66602107
MSC,Mauke,kaveinga,51.13259591
JA,Mauke,kivi,72.27929603
JA,Mauke,navenave,65.01625652
JA,Mauke,navenave,58.7924096
JE,Mauke,nēneva,55.65171031
JE,Mauke,ovi,49.48487318
JE,Mauke,ovi,56.15759316
JE,Mauke,ovi,48.03171616
MSC,Mauke,oꞌavaiki,38.43663
JA,Mauke,rava,75.3157848
JA,Mauke,rava,75.87600672
JA,Mauke,rava,68.48481756
JE,Mauke,rava,47.66880798
JE,Mauke,rava,58.77136864
JE,Mauke,rava,55.55934389
JE,Mauke,rava,60.73540398
JE,Mauke,rava,58.6441929
JE,Mauke,rava,55.52568332
JE,Mauke,rava,52.97014783
JE,Mauke,rava,61.50902036
JE,Mauke,rava,61.76508646
JE,Mauke,rava,56.12072852
JE,Mauke,rava,60.38191386
MM,Mauke,rava,68.43472122
MM,Mauke,rava,67.00263354
MSC,Mauke,rava,52.33032022
MSC,Mauke,rava,52.85597919
MSC,Mauke,rava,47.08637794
MSC,Mauke,rava,52.47874663
MSC,Mauke,rava,50.62487813
MSC,Mauke,rava,48.96461671
MSC,Mauke,rava,63.49284861
MSC,Mauke,ravaꞌia,49.86316336
MSC,Mauke,ravaꞌia,44.30220858
JA,Mauke,rave,69.39365361
JA,Mauke,rave,74.03376784
JA,Mauke,rave,58.43320031
JA,Mauke,rave,65.83451081
JA,Mauke,rave,68.77563755
JA,Mauke,rave,64.22086807
JA,Mauke,rave,68.72939982
JA,Mauke,rave,74.32010724
JA,Mauke,rave,67.85252199
JA,Mauke,rave,62.88876155
JA,Mauke,rave,67.27443629
JA,Mauke,rave,61.5360533
JA,Mauke,rave,63.92271783
JE,Mauke,rave,49.15493788
JE,Mauke,rave,62.36345086
JE,Mauke,rave,54.13384992
