speaker,island,word,duration
TA,Atiu,ava,0.08
TA,Atiu,ava,0.07
TA,Atiu,ava,0.14
TA,Atiu,ava,0.11
TA,Atiu,ava,0.05
TA,Atiu,ava,0.13
TA,Atiu,ava,0.1
TA,Atiu,ava,0.1
TA,Atiu,ava,0.12
TA,Atiu,ava,0.11
TA,Atiu,avatea,0.11
TA,Atiu,avatea,0.07
TA,Atiu,avatea,0.07
TA,Atiu,avatea,0.03
TA,Atiu,iva,0.08
TA,Atiu,iva,0.09
TA,Atiu,iva,0.12
TA,Atiu,iva,0.09
TA,Atiu,kauvai,0.1
TA,Atiu,kauvai,0.09
TA,Atiu,kavamani,0.03
TA,Atiu,kave,0.03
TA,Atiu,manukavamani,0.03
TA,Atiu,rava,0.03
TA,Atiu,rava,0.05
TA,Atiu,rave,0.04
TA,Atiu,rave,0.07
TA,Atiu,rave,0.08
TA,Atiu,raveꞌanga,0.06
TA,Atiu,rāvenga,0.03
TA,Atiu,tuava,0.04
TA,Atiu,tuava,0.03
TA,Atiu,tāviri,0.03
TA,Atiu,vai,0.03
TA,Atiu,vai,0.05
TA,Atiu,vai,0.07
TA,Atiu,vai,0.07
TA,Atiu,vai,0.06
TA,Atiu,vai,0.06
TA,Atiu,vai,0.04
TA,Atiu,vai,0.03
TA,Atiu,vai,0.03
TA,Atiu,vai,0.03
TA,Atiu,vai,0.06
TA,Atiu,vai,0.05
TA,Atiu,vai,0.06
TA,Atiu,vai,0.07
TA,Atiu,vai,0.08
TA,Atiu,vai,0.04
TA,Atiu,vai,0.06
TA,Atiu,vai,0.09
TA,Atiu,vai,0.08
TA,Atiu,vai,0.05
TA,Atiu,vai,0.04
TA,Atiu,vai,0.05
TA,Atiu,vai,0.07
TA,Atiu,vai,0.09
TA,Atiu,vai,0.04
TA,Atiu,vai,0.07
TA,Atiu,vai,0.05
TA,Atiu,vai,0.03
TA,Atiu,vai,0.08
TA,Atiu,vai,0.07
TA,Atiu,vai,0.06
TA,Atiu,vai,0.06
TA,Atiu,vai,0.05
TA,Atiu,vai,0.08
TA,Atiu,vai,0.1
TA,Atiu,vai,0.03
TA,Atiu,vai,0.03
TA,Atiu,vai,0.04
TA,Atiu,vai,0.08
TA,Atiu,vai,0.03
TA,Atiu,vai,0.03
TA,Atiu,vai,0.04
TA,Atiu,vaipuke,0.04
TA,Atiu,vaipuke,0.04
TA,Atiu,vaka,0.09
TA,Atiu,varaoa,0.03
TA,Atiu,varaoa,0.03
TA,Atiu,varaoa,0.03
TA,Atiu,vari,0.05
TA,Atiu,vari,0.03
TA,Atiu,varu,0.07
TA,Atiu,varu,0.08
TA,Atiu,vaꞌine,0.03
TA,Atiu,vaꞌine,0.07
TA,Atiu,vaꞌine,0.03
TA,Atiu,vaꞌo,0.03
TA,Atiu,vaꞌo,0.04
TA,Atiu,vāvia,0.07
TA,Atiu,vāvia,0.12
TA,Atiu,vāvia,0.07
TA,Atiu,vāvia,0.11
TA,Atiu,vāvia,0.13
TA,Atiu,vāvia,0.11
TA,Atiu,vāvia,0.05
TA,Atiu,vāvia,0.03
TA,Atiu,vāvia,0.06
TA,Atiu,vāvia,0.1
TA,Atiu,vē,0.01
TA,Atiu,vēꞌi,0.01
TA,Atiu,vēꞌi,0.01
TA,Atiu,vēꞌi,0.01
TA,Atiu,vī,0.1
TA,Atiu,vī,0.11
TA,Atiu,āvota,0.06
TA,Atiu,ꞌakavā,0.19
TA,Atiu,ꞌakavā,0.14
TA,Atiu,ꞌakavā,0.19
TA,Atiu,ꞌakavā,0.14
TA,Atiu,ꞌakavā,0.04
TA,Atiu,ꞌakavā,0.04
TA,Atiu,ꞌakaꞌārāveiꞌanga,0.12
TA,Atiu,ꞌārāvei,0.07
TA,Atiu,ꞌārāvei,0.06
TA,Atiu,ꞌārāvei,0.11
TA,Atiu,ꞌārāvei,0.1
JA,Mauke,ava,0.04
JE,Mauke,ava,0.11
JE,Mauke,ava,0.09
JE,Mauke,ava,0.09
JE,Mauke,ava,0.08
JE,Mauke,ava,0.09
MM,Mauke,ava,0.03
MM,Mauke,ava,0.03
JA,Mauke,avaava,0.09
JA,Mauke,avaava,0.03
JA,Mauke,avaava,0.11
JA,Mauke,avaava,0.11
JA,Mauke,avaavaꞌia,0.06
JA,Mauke,avaavaꞌia,0.06
JE,Mauke,avaiki,0.04
JE,Mauke,avaiki,0.08
MSC,Mauke,avaiki,0.06
JE,Mauke,avanā,0.08
JE,Mauke,avanā,0.08
JE,Mauke,avata,0.05
MSC,Mauke,evangeria,0.08
MM,Mauke,evenheria,0.01
JA,Mauke,improveꞌia,0.03
JE,Mauke,iva,0.03
MM,Mauke,iva,0.01
MM,Mauke,iva,0.03
MM,Mauke,iva,0.03
MM,Mauke,iva,0.03
MM,Mauke,iva,0.03
MM,Mauke,iva,0.01
JE,Mauke,kaikava,0.07
JA,Mauke,kava,0.09
JE,Mauke,kava,0.07
JE,Mauke,kava,0.07
JE,Mauke,kava,0.06
JE,Mauke,kava,0.06
MM,Mauke,kava,0.03
MM,Mauke,kava,0.05
MM,Mauke,kavamani,0.03
MSC,Mauke,kavamani,0.05
MSC,Mauke,kavamani,0.03
JE,Mauke,kaveinga,0.04
JE,Mauke,kaveinga,0.06
MSC,Mauke,kaveinga,0.08
MSC,Mauke,kaveinga,0.08
JA,Mauke,kivi,0.06
JA,Mauke,navenave,0.06
JA,Mauke,navenave,0.06
JE,Mauke,nēneva,0.07
JE,Mauke,ovi,0.1
JE,Mauke,ovi,0.08
JE,Mauke,ovi,0.09
MSC,Mauke,oꞌavaiki,0.07
JA,Mauke,rava,0.04
JA,Mauke,rava,0.06
JA,Mauke,rava,0.04
JE,Mauke,rava,0.07
JE,Mauke,rava,0.08
JE,Mauke,rava,0.11
JE,Mauke,rava,0.08
JE,Mauke,rava,0.11
JE,Mauke,rava,0.09
JE,Mauke,rava,0.09
JE,Mauke,rava,0.1
JE,Mauke,rava,0.08
JE,Mauke,rava,0.1
JE,Mauke,rava,0.09
MM,Mauke,rava,0.08
MM,Mauke,rava,0.1
MSC,Mauke,rava,0.07
MSC,Mauke,rava,0.06
MSC,Mauke,rava,0.1
MSC,Mauke,rava,0.06
MSC,Mauke,rava,0.08
MSC,Mauke,rava,0.1
MSC,Mauke,rava,0.03
MSC,Mauke,ravaꞌia,0.09
MSC,Mauke,ravaꞌia,0.1
JA,Mauke,rave,0.05
JA,Mauke,rave,0.05
JA,Mauke,rave,0.07
JA,Mauke,rave,0.06
JA,Mauke,rave,0.01
JA,Mauke,rave,0.06
JA,Mauke,rave,0.05
JA,Mauke,rave,0.06
JA,Mauke,rave,0.05
JA,Mauke,rave,0.06
JA,Mauke,rave,0.06
JA,Mauke,rave,0.06
JA,Mauke,rave,0.04
JE,Mauke,rave,0.07
JE,Mauke,rave,0.07
JE,Mauke,rave,0.05
MM,Mauke,rave,0.06
MM,Mauke,rave,0.03
MM,Mauke,rave,0.09
MM,Mauke,rave,0.09
MM,Mauke,rave,0.03
MM,Mauke,rave,0.08
MM,Mauke,rave,0.03
MM,Mauke,rave,0.08
MM,Mauke,rave,0.05
MSC,Mauke,rave,0.08
MSC,Mauke,raveꞌanga,0.07
JA,Mauke,raveꞌia,0.06
JA,Mauke,raveꞌia,0.07
JA,Mauke,raveꞌia,0.04
JA,Mauke,raveꞌia,0.05
JA,Mauke,raveꞌia,0.07
JA,Mauke,raveꞌia,0.06
JA,Mauke,raveꞌia,0.07
JA,Mauke,raveꞌia,0.06
JE,Mauke,raveꞌia,0.04
MM,Mauke,raveꞌia,0.04
MM,Mauke,raveꞌia,0.08
